List-I,List-II
Planck's constant,M L^2 T^{-1}
Stopping potential,M L^2 T^{-3} A^{-1}
Work function,M L^2 T^{-2}
Threshold frequency,T^{-1}
Gravitational Constant,M^-1 L^3 T^{-2}
Electric Field,M L T^{-3} A^{-1}
Resistance,M L^2 T^{-3} A^{-2}
Viscosity,M L^-1 T^{-1}
Area,[M^0 L^2 T^0]
Volume,[M^0 L^3 T^0]
Mass density,[M L^{-3} T^0]
Frequency,[M^0 L^0 T^{-1}]
Velocity,[M^0 L T^{-1}]
Speed,[M^0 L T^{-1}]
Acceleration,[M^0 L T^{-2}]
Force,[M L T^{-2}]
Impulse,[M L T^{-1}]
Work,[M L^2 T^{-2}]
Energy,[M L^2 T^{-2}]
Power,[M L^2 T^{-3}]
Momentum,[M L T^{-1}]
Pressure,[M L^-1 T^{-2}]
Stress,[M L^-1 T^{-2}]
Strain,[M^0 L^0 T^0]
Modulus of elasticity,[M L^-1 T^-2]
Surface tension,[M L^0 T^-2]
Surface energy,[M L^0 T^-2]
Velocity gradient,[M^0 L^0 T^-1]
Pressure gradient,[M L^-2 T^-2]
Pressure energy,[M L^2 T^-2]
Coefficient of viscosity,[M L^-1 T^-1]
Angle,[M^0 L^0 T^0]
Angular displacement,[M^0 L^0 T^0]
Trigonometric ratio,[M^0 L^0 T^0]
Angular velocity,[M^0 L^0 T^-1]
Angular acceleration,[M^0 L^0 T^-2]
Radius of gyration,[M^0 L T^0]
Moment of inertia,[M L^2 T^0]
Angular momentum,[M L^2 T^-1]
Moment of force,[M L^2 T^-2]
Moment of couple,[M L^2 T^-2]
Torque,[M L^2 T^-2]
Angular frequency,[M^0 L^0 T^-1]
Wavelength,[M^0 L T^0]
Hubble constant,[M^0 L^0 T^-1]
Intensity of wave,[M L^0 T^-3]
Radiation pressure,[M L^-1 T^-2]
Energy density,[M L^-1 T^-2]
Critical velocity,[M^0 L T^-1]
Escape velocity,[M^0 L T^-1]
Heat energy,[M L^2 T^-2]
Internal energy,[M L^2 T^-2]
Kinetic energy,[M L^2 T^-2]
Potential energy,[M L^2 T^-2]
Rotational kinetic energy,[M L^2 T^-2]
Efficiency,[M^0 L^0 T^0]
Angular impulse,[M L^2 T^-1]
Gravitational constant,[M^-1 L^3 T^-2]
Planck constant,[M L^2 T^-1]
Heat capacity,[M L^2 T^-2 K^-1]
Entropy,[M L^2 T^-2 K^-1]
Specific heat capacity,[M^0 L^2 T^-2 K^-1]
Latent heat,[M^0 L^2 T^-2]
Thermal expansion coefficient,[M^0 L^0 T^0 K^-1]
Thermal conductivity,[M L T^-3 K^-1]
Bulk modulus,[M L^-1 T^-2]
Centripetal acceleration,[M^0 L T^-2]
Stefan constant,[M L^0 T^-3 K^-4]
Wien constant,[M^0 L T^0 K]
Boltzmann constant,[M L^2 T^-2 K^-1]
Universal gas constant,[M L^2 T^-2 K^-1 mol^-1]
Charge,[M^0 L^0 T A]
Current density,[M^0 L^-2 T^0 A]
Voltage,[M L^2 T^-3 A^-1]
Electric potential,[M L^2 T^-3 A^-1]
Resistance,[M L^2 T^-3 A^-2]
Capacitance,[M^-1 L^-2 T^4 A^2]
Electrical resistivity,[M L^3 T^-3 A^-2]
Electric field,[M L T^-3 A^-1]
Electric flux,[M L^3 T^-3 A^-1]
Electric dipole moment,[M^0 L T A]
Electric field strength,[M L T^-3 A^-1]
Magnetic field,[M L^0 T^-2 A^-1]
Magnetic flux,[M L^2 T^-2 A^-1]
Inductance,[M L^2 T^-2 A^-2]
Magnetic dipole moment,[M^0 L^2 T^0 A]
Magnetic field strength,[M^0 L^-1 T^0 A]
Permittivity constant,[M^-1 L^-3 T^4 A^2]
Permeability constant,[M L T^-2 A^-2]
Refractive index,[M^0 L^0 T^0]
Faraday constant,[M^0 L^0 T A mol^-1]
Wave number,[M^0 L^-1 T^0]
Radiant flux,[M L^2 T^-3]
Luminosity,[M L^2 T^-3]
Luminous flux,[M L^2 T^-3]
Luminous intensity,[M L^2 T^-3]
Illuminance,[M L^0 T^-3]
Relative luminosity,[M^0 L^0 T^0]
Luminous efficiency,[M^0 L^0 T^0]
Illumination,[M L^0 T^-3]
Mass defect,[M L^0 T^0]
Binding energy,[M L^2 T^-2]
Decay constant,[M^0 L^0 T^-1]
Resonant frequency,[M^0 L^0 T^-1 A^0]
Quality factor,[M^0 L^0 T^0]
Power of lens,[M^0 L^-1 T^0]
Magnification,[M^0 L^0 T^0]
Fluid flow rate,[M^0 L^3 T^-1]
Capacitive reactance,[M L^2 T^-3 A^-2]
Inductive reactance,[M L^2 T^-3 A^-2]
Impedance,[M L^2 T^-3 A^-2]
